run,episode_id,step,pre_goal_distance_m,post_goal_distance_m,retry_count,final_parse_error,attempts_json,logged_v2_verdict,v2_reason,v2_blockers_json,relation_required,relation_satisfied,relation_missing_json,relation_unresolved,route_index,route_total,current_action,missing_evidence_json,route_complete,terminal_confirmed,goal_complete,target_direction,local_surface_depth_m,distance_satisfied,route_maturity_satisfied,instance_key,instance_streak,instance_reason,stop_outcome,terminal_recheck_hold,terminal_recheck_used,recheck_original_distance_m,action_code,candidate_id,command_distance_m,command_angle_rad,actual_displacement_m,prior_override,prior_gap,source_nav,evidence_line,command_line
instruction_two_stage_ep10_20260908_132650,218,1,,7.5492658615112305,,JSONDecodeError: Expecting value: line 1 column 1 (char 0),null,uncertain,Visual evidence is insufficient to verify the STOP proposal.,[],,,null,,0,4,Leave the bedroom,"[""effective_movement_missing""]",False,False,False,,,False,True,,0,insufficient_instance_geometry,,,,,4,9,1.25,4.5029497146606445,1.2499995346575177,True,0.11088270573833836,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,621,641
instruction_two_stage_ep10_20260908_132650,218,2,7.5492658615112305,8.29138469696045,,JSONDecodeError: Expecting value: line 1 column 1 (char 0),null,uncertain,Visual evidence is insufficient to verify the STOP proposal.,[],,,null,,0,4,Leave the bedroom,"[""exit_state_transition_missing""]",False,False,False,,,False,True,,0,insufficient_instance_geometry,,,,,4,0,1.0,6.0737457275390625,0.7523795800018211,True,0.04320677797973965,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,678,698
instruction_two_stage_ep10_20260908_132650,218,3,8.29138469696045,8.549818992614746,,,null,allow,Visual evidence supports final target visibility and arrival with confidence 0.90.,[],,,null,,0,4,Leave the bedroom,"[""exit_state_transition_missing""]",False,False,False,6,0.8833652436733247,True,True,218:terminal-instance:1,1,new_spatial_track,,,,,4,10,0.75,4.817108631134033,0.6018069548350666,True,0.04011384075840252,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,735,756
instruction_two_stage_ep10_20260908_132650,218,4,8.549818992614746,8.549818992614746,,,null,allow,Visual evidence supports final target visibility and arrival with confidence 0.95.,[],,,null,,0,4,Leave the bedroom,"[""room_state_unobserved""]",False,True,False,9,1.2935331463813782,True,True,218:terminal-instance:1,2,matched_terminal_track,,,,,4,0,1.0,6.0737457275390625,0.0,True,0.0955584232835584,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,793,813
instruction_two_stage_ep10_20260908_132650,218,5,8.549818992614746,7.353854179382324,,,null,allow,Visual evidence supports final target visibility and arrival with confidence 0.95.,[],,,null,,0,4,Leave the bedroom,"[""effective_movement_missing""]",False,True,False,9,1.2248911708593369,True,True,218:terminal-instance:1,3,matched_terminal_track,,,,,4,9,1.25,4.5029497146606445,1.2499990947705006,False,,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,850,869
instruction_two_stage_ep10_20260908_132650,218,6,7.353854179382324,6.4095635414123535,,JSONDecodeError: Expecting value: line 1 column 1 (char 0),null,uncertain,Visual evidence is insufficient to verify the STOP proposal.,[],,,null,,0,4,Leave the bedroom,"[""exit_state_transition_missing""]",False,False,False,,,False,True,,0,insufficient_instance_geometry,,,,,4,0,1.5,5.864306449890137,1.5000008045342499,True,0.09490553625179815,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,906,933
instruction_two_stage_ep10_20260908_132650,218,7,6.4095635414123535,5.223273277282715,,,null,reject,"Visual evidence does not support STOP: final_target_visible=False, arrival_evidence=False, missing=['doorway to the room']",[],,,null,,0,4,Leave the bedroom,"[""room_observations_not_comparable""]",False,False,False,,,False,True,,0,insufficient_instance_geometry,,,,,4,9,1.25,4.607669353485107,1.2500014413123712,False,,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,970,989
instruction_two_stage_ep10_20260908_132650,218,8,5.223273277282715,5.745336532592773,,JSONDecodeError: Expecting value: line 1 column 1 (char 0),null,uncertain,Visual evidence is insufficient to verify the STOP proposal.,[],,,null,,0,4,Leave the bedroom,"[""room_observations_not_comparable""]",False,False,False,,,False,True,,0,insufficient_instance_geometry,,,,,4,11,1.25,5.2883477210998535,1.2500002742490024,True,0.12540168334791485,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,1026,1046
instruction_two_stage_ep10_20260908_132650,218,9,5.745336532592773,6.874413013458252,,JSONDecodeError: Expecting value: line 1 column 1 (char 0),null,uncertain,Visual evidence is insufficient to verify the STOP proposal.,[],,,null,,0,4,Leave the bedroom,"[""exit_state_transition_missing""]",False,False,False,,,False,True,,0,insufficient_instance_geometry,,,,,4,1,1.25,0.26179933547973633,1.2499998029203967,False,,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,1083,1103
instruction_two_stage_ep10_20260908_132650,218,10,6.874413013458252,9.020262718200684,,JSONDecodeError: Expecting value: line 1 column 1 (char 0),null,uncertain,Visual evidence is insufficient to verify the STOP proposal.,[],,,null,,1,4,take a left in the hallway,[],False,False,False,,,False,True,,0,insufficient_instance_geometry,,,,,4,11,2.25,5.4977874755859375,2.2499984868125678,True,0.14827636033106703,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,1140,1160
instruction_two_stage_ep10_20260908_132650,226,1,,9.68908405303955,,JSONDecodeError: Expecting value: line 1 column 1 (char 0),null,uncertain,Visual evidence is insufficient to verify the STOP proposal.,[],,,null,,0,5,Leave the bedroom,"[""effective_movement_missing""]",False,False,False,,,False,True,,0,insufficient_instance_geometry,,,,,4,11,2.25,5.445427417755127,2.249998819959666,True,0.16653609846823825,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,1206,1226
instruction_two_stage_ep10_20260908_132650,226,2,9.68908405303955,8.31788158416748,,,null,uncertain,"Visual evidence has an allow candidate, but conservative STOP allow rules blocked it: before_min_steps:2<3.","[""before_min_steps:2<3""]",,,null,,0,5,Leave the bedroom,"[""exit_state_transition_missing""]",False,False,False,6,1.9814046025276184,True,True,226:terminal-instance:1,1,new_spatial_track,,,,,4,6,1.5,3.0892324447631836,1.4999995764147211,True,0.022875870164343948,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,1263,1284
instruction_two_stage_ep10_20260908_132650,226,3,8.31788158416748,6.818032264709473,,,null,reject,"Visual evidence does not support STOP: final_target_visible=False, arrival_evidence=False, missing=[]",[],,,null,,0,5,Leave the bedroom,"[""exit_state_transition_missing""]",False,False,False,,,False,True,,0,insufficient_instance_geometry,,,,,4,1,1.5,0.5235986709594727,1.5000007610452215,False,,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,1321,1340
instruction_two_stage_ep10_20260908_132650,226,4,6.818032264709473,8.784624099731445,,JSONDecodeError: Expecting value: line 1 column 1 (char 0),null,uncertain,Visual evidence is insufficient to verify the STOP proposal.,[],,,null,,0,5,Leave the bedroom,"[""exit_state_transition_missing""]",False,False,False,,,False,True,,0,insufficient_instance_geometry,,,,,4,6,2.0,2.8274333477020264,2.000001817034333,True,0.05205459656480638,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,1377,1397
instruction_two_stage_ep10_20260908_132650,226,5,8.784624099731445,10.487841606140137,,,null,reject,"Visual evidence does not support STOP: final_target_visible=False, arrival_evidence=False, missing=[]",[],,,null,,0,5,Leave the bedroom,"[""exit_state_transition_missing""]",False,False,False,,,False,True,,0,insufficient_instance_geometry,,,,,4,0,1.75,6.02138614654541,1.749997814105755,True,0.16187875217316305,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,1434,1454
instruction_two_stage_ep10_20260908_132650,226,6,10.487841606140137,8.24804973602295,,JSONDecodeError: Expecting value: line 1 column 1 (char 0),null,uncertain,Visual evidence is insufficient to verify the STOP proposal.,[],,,null,,0,5,Leave the bedroom,"[""exit_state_transition_missing""]",False,False,False,,,False,True,,0,insufficient_instance_geometry,,,,,4,7,2.25,3.246312379837036,2.2499986064590534,True,0.12347733801875915,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,1491,1511
instruction_two_stage_ep10_20260908_132650,226,7,8.24804973602295,10.085043907165527,,,null,allow,Visual evidence supports final target visibility and arrival with confidence 0.95.,[],,,null,,1,5,take a right in the hall,[],False,False,False,10,1.412537395954132,True,True,226:terminal-instance:2,1,new_spatial_track,,,,,4,8,2.0,3.9269907474517822,2.0000000979528045,False,,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,1548,1568
instruction_two_stage_ep10_20260908_132650,226,8,10.085043907165527,8.08517074584961,,JSONDecodeError: Expecting value: line 1 column 1 (char 0),null,uncertain,Visual evidence is insufficient to verify the STOP proposal.,[],,,null,,1,5,take a right in the hall,"[""required_turn_not_reached""]",False,False,False,,,False,True,,0,insufficient_instance_geometry,,,,,4,6,2.0,2.8274333477020264,1.9999989050014038,False,,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,1605,1624
instruction_two_stage_ep10_20260908_132650,226,9,8.08517074584961,6.904796600341797,,,null,reject,"Visual evidence does not support STOP: final_target_visible=False, arrival_evidence=False, missing=['doorway to the bedroom']",[],,,null,,1,5,take a right in the hall,"[""required_turn_not_reached""]",False,False,False,,,False,True,,0,insufficient_instance_geometry,,,,,4,1,1.25,0.26179933547973633,1.2499998560899401,False,,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,1661,1686
instruction_two_stage_ep10_20260908_132650,226,10,6.904796600341797,8.796189308166504,,JSONDecodeError: Expecting value: line 1 column 1 (char 0),null,uncertain,Visual evidence is insufficient to verify the STOP proposal.,[],,,null,,2,5,walk straight,[],False,False,False,,,False,True,,0,insufficient_instance_geometry,,,,,4,7,2.0,3.1939523220062256,1.9999999787539229,True,0.13900199759196133,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,1723,1744
instruction_two_stage_ep10_20260908_132650,371,1,,7.804422378540039,,,null,uncertain,"Visual evidence has an allow candidate, but conservative STOP allow rules blocked it: before_min_steps:1<3.","[""before_min_steps:1<3""]",,,null,,0,2,Walk through the dining room and kitchen air to the short flight of stairs,"[""verifier_not_implemented:traverse""]",False,False,False,10,1.1813112497329712,True,True,371:terminal-instance:1,1,new_spatial_track,,,,,4,10,1.5,5.235987663269043,1.500002149937566,True,0.07204434482512848,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,1790,1811
instruction_two_stage_ep10_20260908_132650,371,2,7.804422378540039,6.81700325012207,,,null,reject,"Visual evidence does not support STOP: final_target_visible=True, arrival_evidence=False, missing=[]",[],,,null,,0,2,Walk through the dining room and kitchen air to the short flight of stairs,"[""verifier_not_implemented:traverse""]",False,False,False,11,2.4118882715702057,True,True,,0,insufficient_instance_geometry,,,,,4,11,1.75,5.707226753234863,1.7499973676247838,True,0.2438589741614179,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,1848,1868
instruction_two_stage_ep10_20260908_132650,371,3,6.81700325012207,8.709724426269531,,,null,reject,"Visual evidence does not support STOP: final_target_visible=False, arrival_evidence=False, missing=['door at the top of the stairs']",[],,,null,,0,2,Walk through the dining room and kitchen air to the short flight of stairs,"[""verifier_not_implemented:traverse""]",False,False,False,,,False,True,,0,insufficient_instance_geometry,,,,,4,10,2.0,5.235987663269043,2.000000119942844,True,0.1586783549661492,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,1905,1925
instruction_two_stage_ep10_20260908_132650,371,4,8.709724426269531,10.074445724487305,,JSONDecodeError: Expecting value: line 1 column 1 (char 0),null,uncertain,Visual evidence is insufficient to verify the STOP proposal.,[],,,null,,0,2,Walk through the dining room and kitchen air to the short flight of stairs,"[""verifier_not_implemented:traverse""]",False,False,False,,,False,True,,0,insufficient_instance_geometry,,,,,4,11,1.5,5.55014705657959,1.5000001253417796,True,0.0639130770374684,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,1962,1982
instruction_two_stage_ep10_20260908_132650,371,5,10.074445724487305,11.647407531738281,,,null,allow,Visual evidence supports final target visibility and arrival with confidence 0.90.,[],,,null,,0,2,Walk through the dining room and kitchen air to the short flight of stairs,"[""verifier_not_implemented:traverse""]",False,False,False,10,1.1493013054132462,True,True,371:terminal-instance:2,1,new_spatial_track,,,,,4,10,1.75,5.183628082275391,1.7500016005288401,True,0.19181271265695884,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,2019,2040
instruction_two_stage_ep10_20260908_132650,371,6,11.647407531738281,10.2278470993042,,,null,allow,Visual evidence supports final target visibility and arrival with confidence 0.90.,[],,,null,,0,2,Walk through the dining room and kitchen air to the short flight of stairs,"[""verifier_not_implemented:traverse""]",False,True,False,1,0.9281940013170242,True,True,371:terminal-instance:2,2,matched_terminal_track,,,,,4,10,1.75,5.183628082275391,1.7500004933863191,True,0.06117967254355661,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,2077,2097
instruction_two_stage_ep10_20260908_132650,371,7,10.2278470993042,8.94023323059082,,JSONDecodeError: Expecting value: line 1 column 1 (char 0),null,uncertain,Visual evidence is insufficient to verify the STOP proposal.,[],,,null,,0,2,Walk through the dining room and kitchen air to the short flight of stairs,"[""verifier_not_implemented:traverse""]",False,False,False,,,False,True,,0,insufficient_instance_geometry,,,,,4,0,1.5,5.759586811065674,1.4999995282683594,False,,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,2134,2153
instruction_two_stage_ep10_20260908_132650,371,8,8.94023323059082,8.973945617675781,,,null,allow,Visual evidence supports final target visibility and arrival with confidence 0.95.,[],,,null,,0,2,Walk through the dining room and kitchen air to the short flight of stairs,"[""verifier_not_implemented:traverse""]",False,False,False,11,0.9206031560897827,True,True,371:terminal-instance:3,1,new_spatial_track,,,,,4,1,1.5,0.3665189743041992,0.7804019219797105,True,0.10453428478672816,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,2190,2217
instruction_two_stage_ep10_20260908_132650,371,9,8.973945617675781,9.872903823852539,,,null,allow,Visual evidence supports final target visibility and arrival with confidence 0.90.,[],,,null,,0,2,Walk through the dining room and kitchen air to the short flight of stairs,"[""verifier_not_implemented:traverse""]",False,True,False,1,0.1341435518115759,True,True,371:terminal-instance:3,2,matched_terminal_track,,,,,4,7,2.0,3.1939523220062256,1.9570789394319406,True,0.06304210240842312,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,2254,2274
instruction_two_stage_ep10_20260908_132650,371,10,9.872903823852539,12.150912284851074,,,null,allow,Visual evidence supports final target visibility and arrival with confidence 0.90.,[],,,null,,0,2,Walk through the dining room and kitchen air to the short flight of stairs,"[""verifier_not_implemented:traverse""]",False,True,False,10,0.9758661687374115,True,True,371:terminal-instance:3,3,matched_terminal_track,,,,,4,0,1.5,5.916666507720947,1.4999996438297818,False,,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,2311,2330
instruction_two_stage_ep10_20260908_132650,602,1,,8.530467987060547,,JSONDecodeError: Expecting value: line 1 column 1 (char 0),null,uncertain,Visual evidence is insufficient to verify the STOP proposal.,[],,,null,,0,4,Leave the bathroom and closet,"[""effective_movement_missing""]",False,False,False,,,False,True,,0,insufficient_instance_geometry,,,,,4,6,1.25,2.9845128059387207,1.24999932162875,False,,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,2376,2395
instruction_two_stage_ep10_20260908_132650,602,2,8.530467987060547,7.437750816345215,,JSONDecodeError: Expecting value: line 1 column 1 (char 0),null,uncertain,Visual evidence is insufficient to verify the STOP proposal.,[],,,null,,0,4,Leave the bathroom and closet,"[""exit_state_transition_missing""]",False,False,False,,,False,True,,0,insufficient_instance_geometry,,,,,4,0,1.25,6.02138614654541,1.2500009392461944,False,,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,2433,2452
instruction_two_stage_ep10_20260908_132650,602,3,7.437750816345215,5.2811102867126465,,,null,reject,"Visual evidence does not support STOP: final_target_visible=False, arrival_evidence=False, missing=[]",[],,,null,,0,4,Leave the bathroom and closet,"[""exit_state_transition_missing""]",False,False,False,,,False,True,,0,insufficient_instance_geometry,,,,,4,2,2.5,0.7330379486083984,2.493836225977909,True,0.22387572358813032,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,2490,2510
instruction_two_stage_ep10_20260908_132650,602,4,5.2811102867126465,4.450333595275879,,,null,reject,"Visual evidence does not support STOP: final_target_visible=False, arrival_evidence=False, missing=[]",[],,,null,,0,4,Leave the bathroom and closet,"[""room_observations_not_comparable""]",False,False,False,,,False,True,,0,insufficient_instance_geometry,,,,,4,2,1.5,0.6283183097839355,1.4999999662006944,True,0.018515268586163702,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,2548,2568
instruction_two_stage_ep10_20260908_132650,602,5,4.450333595275879,5.2811102867126465,,JSONDecodeError: Expecting value: line 1 column 1 (char 0),null,uncertain,Visual evidence is insufficient to verify the STOP proposal.,[],,,null,,0,4,Leave the bathroom and closet,"[""exit_state_transition_missing""]",False,False,False,,,False,True,,0,insufficient_instance_geometry,,,,,4,7,1.5,3.1415927410125732,1.4999999662006944,True,0.04810189372745763,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,2606,2626
instruction_two_stage_ep10_20260908_132650,602,6,5.2811102867126465,4.779743194580078,,JSONDecodeError: Expecting value: line 1 column 1 (char 0),null,uncertain,Visual evidence is insufficient to verify the STOP proposal.,[],,,null,,0,4,Leave the bathroom and closet,"[""exit_state_transition_missing""]",False,False,False,,,False,True,,0,insufficient_instance_geometry,,,,,4,6,2.0,2.775073528289795,1.78886444315116,True,0.1254783239824794,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,2664,2684
instruction_two_stage_ep10_20260908_132650,602,7,4.779743194580078,4.920365333557129,,,null,reject,"Visual evidence does not support STOP: final_target_visible=True, arrival_evidence=False, missing=[]",[],,,null,,0,4,Leave the bathroom and closet,"[""exit_state_transition_missing""]",False,False,False,3,1.5770264565944672,True,True,,0,insufficient_instance_geometry,,,,,4,7,1.5,3.1415927410125732,1.5000002298422586,False,,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,2722,2742
instruction_two_stage_ep10_20260908_132650,602,8,4.920365333557129,5.305100440979004,,,null,reject,"Visual evidence does not support STOP: final_target_visible=False, arrival_evidence=False, missing=[]",[],,,null,,0,4,Leave the bathroom and closet,"[""exit_state_transition_missing""]",False,False,False,,,False,True,,0,insufficient_instance_geometry,,,,,4,6,2.0,2.879793167114258,1.9396897835032856,True,0.040344109741751594,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,2779,2799
instruction_two_stage_ep10_20260908_132650,602,9,5.305100440979004,4.547368049621582,,,null,uncertain,"Visual evidence has an allow candidate, but conservative STOP allow rules blocked it: generic_final_terms:doorway.","[""generic_final_terms:doorway""]",,,null,,0,4,Leave the bathroom and closet,"[""exit_state_transition_missing""]",False,False,False,3,1.6325494647026062,True,True,602:terminal-instance:1,1,new_spatial_track,,,,,4,6,1.75,2.9845128059387207,1.749999497661334,False,,/root/My-Experiment/logs/navigation_records/ep10/20260908/instruction_two_stage_ep10_20260908_132650_train_navigation_20260908_132707.jsonl,2836,2855
